mesure_dt,area_nm,city,fact_manage_nm,fact_adres,stack_code,hcl_mesure_value,nox_mesure_value,sox_mesure_value,co_mesure_value,tsp_mesure_value,nh3_mesure_value,hf_mesure_value,hcl_exhst_perm_stdr_value,nox_exhst_perm_stdr_value,sox_exhst_perm_stdr_value,co_exhst_perm_stdr_value,tsp_exhst_perm_stdr_value,collected_at
2026-07-10 20:30,충청북도,단양군,성신양회㈜ 단양공장,충청북도 단양군 매포읍 매포길 18,2,0.00,64.49,,,3.60,,,8,270,,,15,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,단양군,성신양회㈜ 단양공장,충청북도 단양군 매포읍 매포길 18,3,미수신,미수신,,,미수신,,,8,270,,,15,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,단양군,성신양회㈜ 단양공장,충청북도 단양군 매포읍 매포길 18,4,3.60,137.80,,,0.71,,,8,270,,,15,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,단양군,성신양회㈜ 단양공장,충청북도 단양군 매포읍 매포길 18,5,측정자료확인중(가동중지),측정자료확인중(가동중지),,,측정자료확인중(가동중지),,,8,270,,,15,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,단양군,성신양회㈜ 단양공장,충청북도 단양군 매포읍 매포길 18,6,1.55,115.07,,,0.82,,,8,270,,,15,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,단양군,성신양회㈜ 단양공장,충청북도 단양군 매포읍 매포길 18,7,0.19,120.49,,,0.91,,,8,270,,,15,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,단양군,성신양회㈜ 단양공장,충청북도 단양군 매포읍 매포길 18,9,,,,,미수신,,,,,,,30,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,스템코㈜,충청북도 청주시 흥덕구 옥산면 과학산업4로 79-44,12,,9.64,,,,,,,28,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,스템코㈜,충청북도 청주시 흥덕구 옥산면 과학산업4로 79-44,19,,측정자료확인중(가동중지),,,,,,,40,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,진천군,씨제이제일제당(주)진천 BLOSSOM CAMPUS,충청북도 진천군 진천읍 씨제이로 110,7,,16.42,,,,,,,40,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,제천시,아세아시멘트㈜ 제천,충청북도 제천시 송학면 송학산로 14,1,측정자료확인중(가동중지),측정자료확인중(가동중지),,,측정자료확인중(가동중지),,,9,270,,,15,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,제천시,아세아시멘트㈜ 제천,충청북도 제천시 송학면 송학산로 14,3,0.14,196.65,,,2.45,,,9,270,,,15,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,제천시,아세아시멘트㈜ 제천,충청북도 제천시 송학면 송학산로 14,4,0.24,46.34,,,1.77,,,9,270,,,15,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,제천시,아세아시멘트㈜ 제천,충청북도 제천시 송학면 송학산로 14,5,,,,,2.50,,,,,,,30,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,제천시,아세아시멘트㈜ 제천,충청북도 제천시 송학면 송학산로 14,6,,,,,4.44,,,,,,,30,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,제천시,아세아시멘트㈜ 제천,충청북도 제천시 송학면 송학산로 14,7,,,,,3.38,,,,,,,30,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,진천군,에스와이에너지㈜,충청북도 진천군 초평면 초평로 473,6,,8.19,0.93,,10.31,,,,75,200,,25,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,에스케이하이닉스㈜ 청주1공장,충청북도 청주시 흥덕구 대신로 215,39,,측정자료확인중(가동중지),,,,,,,42,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,에스케이하이닉스㈜ 청주1공장,충청북도 청주시 흥덕구 대신로 215,41,,11.99,,,,,,,28,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,에스케이하이닉스㈜ 청주3공장,충청북도 청주시 흥덕구 직지대로 337,21,,0.00,,,,,,,77.7,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,에스케이하이닉스㈜ 청주3공장,충청북도 청주시 흥덕구 직지대로 337,22,,8.31,,,,,,,77.7,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,에스케이하이닉스㈜ 청주4공장,충청북도 청주시 흥덕구 에스케이로 120,13,0.00,,,,,,,3,,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,에스케이하이닉스㈜ 청주4공장,충청북도 청주시 흥덕구 에스케이로 120,14,0.00,,,,,,,3,,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,에스케이하이닉스㈜ 청주4공장,충청북도 청주시 흥덕구 에스케이로 120,15,0.00,,,,,,,3,,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,에스케이하이닉스㈜ 청주4공장,충청북도 청주시 흥덕구 에스케이로 120,19,0.00,,,,,,,3,,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,에스케이하이닉스㈜ 청주4공장,충청북도 청주시 흥덕구 에스케이로 120,20,0.00,,,,,,,3,,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,에스케이하이닉스㈜ 청주4공장,충청북도 청주시 흥덕구 에스케이로 120,21,0.00,,,,,,,3,,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,에스케이하이닉스㈜ 청주4공장,충청북도 청주시 흥덕구 에스케이로 120,32,,10.75,,,,,,,28,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,에스케이하이닉스㈜ 청주4공장,충청북도 청주시 흥덕구 에스케이로 120,38,0.00,,,,,,,3,,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,에스케이하이닉스㈜ 청주4공장,충청북도 청주시 흥덕구 에스케이로 120,41,,8.10,,,,,,,28,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,에스케이하이닉스㈜ 청주4공장,충청북도 청주시 흥덕구 에스케이로 120,57,0.00,,,,,,,3,,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,에스케이하이닉스㈜ 청주4공장,충청북도 청주시 흥덕구 에스케이로 120,58,0.00,,,,,,,3,,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,에스케이하이닉스㈜ 청주4공장,충청북도 청주시 흥덕구 에스케이로 120,59,0.00,,,,,,,3,,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,에스케이하이닉스㈜ 청주4공장,충청북도 청주시 흥덕구 에스케이로 120,63,0.00,,,,,,,3,,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,에스케이하이닉스㈜ 청주4공장,충청북도 청주시 흥덕구 에스케이로 120,64,0.00,,,,,,,3,,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,에스케이하이닉스㈜ 청주4공장,충청북도 청주시 흥덕구 에스케이로 120,65,0.00,,,,,,,3,,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,에스케이하이닉스㈜ 청주4공장,충청북도 청주시 흥덕구 에스케이로 120,66,0.00,,,,,,,3,,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,에스케이하이닉스㈜ 청주4공장,충청북도 청주시 흥덕구 에스케이로 120,67,0.00,,,,,,,3,,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,에스케이하이닉스㈜ 청주4공장,충청북도 청주시 흥덕구 에스케이로 120,87,0.00,,,,,,,3,,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,에스케이하이닉스㈜ 청주4공장,충청북도 청주시 흥덕구 에스케이로 120,88,0.00,,,,,,,3,,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,에스케이하이닉스㈜ 청주4공장,충청북도 청주시 흥덕구 에스케이로 120,89,0.00,,,,,,,3,,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,에스케이하이닉스㈜ 청주스마트에너지센터,충청북도 청주시 흥덕구 외북로15번길 37-101,1,,3.21,,,,,,,6,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,영보화학㈜,충청북도 청주시 흥덕구 강내면 서부로 230-23,15,,8.58,,,,,,,42,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,옥천군,옥천군 자원순환센터,충청북도 옥천군 군북면 이평1길 199,1,0.84,38.28,,22.90,1.83,,,12,70,,160,16,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,우진환경개발㈜,충청북도 청주시 청원구 북이면 의암로 298,1,0.10,22.28,0.00,0.72,0.06,,,9.6,42.5,16,45,12,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,우진환경개발㈜,충청북도 청주시 청원구 북이면 의암로 298,2,0.00,25.86,0.00,0.00,1.07,,,9.6,42.5,16,45,12,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,충주시,유진금속㈜,충청북도 충주시 충주산단1로 115,3,,0.73,0.00,,,,,,105,140,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,영동군,육군제3808부대,충청북도 영동군 매곡면 수원동길 32-40,1,측정자료확인중(가동중지),측정자료확인중(가동중지),측정자료확인중(가동중지),측정자료확인중(가동중지),측정자료확인중(가동중지),,,15,70,30,200,20,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,영동군,육군제3808부대,충청북도 영동군 매곡면 수원동길 32-40,2,측정자료확인중,측정자료확인중,측정자료확인중,측정자료확인중,측정자료확인중(가동중지),,,15,70,30,200,20,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,제천시,제천시 자원관리센터,충청북도 제천시 북부로 1860,1,2.00,21.05,,1.49,0.90,,,9.6,40,,40,12,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,음성군,주식회사 디비하이텍 상우공장,충청북도 음성군 감곡면 상우안길 73,10,0.00,,,,,,,3,,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,음성군,주식회사 디비하이텍 상우공장,충청북도 음성군 감곡면 상우안길 73,2,0.00,,,,,,,3,,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,음성군,주식회사 디비하이텍 상우공장,충청북도 음성군 감곡면 상우안길 73,3,0.60,,,,,,,3,,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,음성군,주식회사 디비하이텍 상우공장,충청북도 음성군 감곡면 상우안길 73,4,0.73,,,,,,,3,,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,음성군,주식회사 디비하이텍 상우공장,충청북도 음성군 감곡면 상우안길 73,5,0.40,,,,,,,3,,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,음성군,주식회사 디비하이텍 상우공장,충청북도 음성군 감곡면 상우안길 73,6,0.13,,,,,,,3,,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,음성군,주식회사 디비하이텍 상우공장,충청북도 음성군 감곡면 상우안길 73,7,0.11,,,,,,,3,,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,음성군,주식회사 디비하이텍 상우공장,충청북도 음성군 감곡면 상우안길 73,8,0.01,,,,,,,3,,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,음성군,주식회사 디비하이텍 상우공장,충청북도 음성군 감곡면 상우안길 73,9,0.02,,,,,,,3,,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,진천군,주식회사 에너지진천,충청북도 진천군 진천읍 금사로 7,1,기기점검,9.89,0.00,229.28,3.76,,,12,42.5,16,40,8,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,단양군,주식회사 지알엠,충청북도 단양군 매포읍 매포농공단지로 260,1,,15.63,64.77,,0.59,,,,105,140,,7,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,음성군,진천음성광역폐기물처리시설,충청북도 음성군 맹동면 원중로 873-23,1,기기점검,기기점검,기기점검,기기점검,기기점검,,,9.6,40,16,40,12,2026-07-10 22:05:32
